,Exams,Percentage,Solution_code1,Solution_code2,Time_code1,Time_code2
635,11,0.29,,3.0,,1.3000000000000001e-05
636,11,0.3,,3.0,,1.2e-05
637,11,0.31,,3.0,,1.2e-05
638,11,0.32,,3.0,,1.2e-05
639,11,0.33,,3.0,,1.1e-05
640,11,0.34,,3.0,,1.1e-05
641,11,0.35000000000000003,,3.0,,1.1e-05
642,11,0.36,,3.0,,1.1e-05
643,11,0.37,,3.0,,1.1e-05
644,11,0.38,,4.0,,1.4000000000000001e-05
645,11,0.39,,4.0,,1.4999999999999999e-05
646,11,0.4,,4.0,,1.6e-05
647,11,0.41,,4.0,,1.6e-05
648,11,0.42,,4.0,,1.4999999999999999e-05
649,11,0.43,,4.0,,1.4999999999999999e-05
650,11,0.44,,4.0,,1.6e-05
651,11,0.45,,4.0,,1.4999999999999999e-05
